problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name,proj_name
Problem 2,E,B28,102,4,1,0,0,1,2,1,1,0,0:03:44,Problem 2,experiment
Problem 3,E,B28,64,1,1,0,0,1,0,0,0,0,0:02:11,Problem 3,experiment
Problem 4,E,B28,91,7,1,0,0,3,2,2,0,0,0:06:49,Problem 4,experiment
Problem 5,E,B28,9,1,1,0,0,1,0,0,0,0,0:00:58,Problem 5,experiment
Problem 1,E,B29,42,3,1,0,0,1,1,1,1,0,0:02:42,Problem1,experiment
Problem 2,E,B29,124,5,2,0,0,2,3,0,0,0,0:05:57,Problem2,experiment
Problem 3,E,B29,109,2,1,0,0,4,0,0,0,0,0:05:57,Problem3,experiment
Problem 4,E,B29,193,6,1,0,0,6,0,0,1,0,0:11:15,problem4 ,experiment
Problem 5,E,B29,50,1,1,0,0,1,0,0,1,0,0:01:05,Problem5,experiment
Problem 1,E,B31,24,2,1,0,0,1,1,0,1,0,0:01:51,Problem 1,experiment
Problem 2,E,B31,25,2,1,0,0,1,1,0,1,0,0:02:15,Problem 2,experiment
Problem 3,C,B31,39,4,1,3,1,4,0,0,1,0,0:06:48,problem  3,experiment
Problem 4,B,B31,73,7,1,5,0,6,1,0,1,0,0:06:36,Problem 4,experiment
Problem 5,B,B31,54,6,1,4,0,5,1,0,0,0,0:03:43,Problem 5,experiment
Problem 1,E,B32,33,2,1,0,0,0,2,0,1,0,0:04:00,problem 1,experiment
Problem 2,E,B32,166,4,1,0,0,1,7,1,0,0,0:07:28,problem 2,experiment
Problem 3,B,B32,98,4,3,3,0,4,0,0,1,0,0:01:50,problem 3,experiment
Problem 4,B,B32,168,7,1,5,0,7,1,0,1,0,0:16:59,problem 4,experiment
Problem 5,E,B32,95,1,1,0,0,1,0,0,1,0,0:01:43,problem 5,experiment
Problem 1,E,B33,39,1,1,0,0,0,1,0,1,0,0:03:03,Problem 1,Experiment
Problem 2,E,B33,51,3,1,0,0,1,1,2,0,0,0:04:10,Problem 2,Experiment
Problem 3,B,B33,54,4,1,2,0,4,0,1,0,0,0:05:14,Problem 3,Experiment
Problem 4,B,B33,152,7,10,5,0,6,0,1,1,0,0:17:48,Problem 4,Experiment
Problem 5,E,B33,17,1,1,0,0,1,0,0,1,0,0:02:10,Problem 5,Experiment
Problem 1,E,B34,56,3,1,0,0,2,2,0,1,0,0:04:02,Problem 1,experiment
Problem 2,E,B34,41,4,1,0,0,1,2,1,0,0,0:05:18,Problem 2,experiment
Problem 3,B,B34,61,4,1,3,0,4,0,0,1,0,0:05:10,Problem 3,experiment
Problem 4,B,B34,97,6,7,5,0,6,0,0,1,0,0:08:21,Problem 4,experiment
Problem 5,E,B34,13,1,1,0,0,1,0,0,1,0,0:01:54,problem 5,experiment
